id,supplier,parentSupplier,zone,country,category,kpiApplicability,poValue,invoiceValue,divergencePct,year,month
pd-20190,DW Reusables,DS SMITH,EUR,Germany,PALLETS,Applicable,28474.50,28823.00,0.012239,2026,3
pd-20191,DW Reusables,DS SMITH,EUR,Germany,PLASTIC CRATES,Applicable,537000.00,543615.84,0.012320,2026,3
pd-20192,DW Reusables,LB JERSEY HOLDCO LIMITED,EUR,Belgium,PLASTIC CRATES,Applicable,209296.00,212097.60,0.013386,2026,3
pd-20193,DWAnalytical Ltd,DWAnalytical Ltd,EUR,United Kingdom,MAINTENANCE,Applicable,872.55,872.55,0.000000,2026,3
pd-20194,DYNAMIK PUMPEN GMBH,KSB STIFTUNG,EUR,Germany,MAINTENANCE,Applicable,20455.07,20455.07,0.000000,2026,3
pd-20195,Dacsa Ltd,MAICERIAS ESPAÑOLAS SA,EUR,United Kingdom,ADJUNCTS,Applicable,216185.76,215407.96,0.003598,2026,3
pd-20196,Dacsa Polska Sp. z o.o.,MAICERIAS ESPAÑOLAS SA,EUR,Belgium,ADJUNCTS,Applicable,157180.20,151421.33,0.036639,2026,3
pd-20197,Dagdroom (BV),,EUR,Belgium,CUSTOMERS,Applicable,10000.00,10000.00,0.000000,2026,3
pd-20198,Dakwerken Maes,Dakwerken Maes,EUR,Belgium,MAINTENANCE,Applicable,77567.04,100000.00,0.289207,2026,3
pd-20199,Dalì Srls,,EUR,Italy,MARKETING,Applicable,4645.70,4645.70,0.000000,2026,3
pd-20200,Dam A. Tra Srls,,EUR,Italy,MARKETING,Applicable,13200.00,13200.00,0.000000,2026,3
pd-20201,Danone Waters Deutschland GmbH,,EUR,Germany,FINISHED PRODUCTS,Applicable,15728.16,15714.63,0.000860,2026,3
pd-20202,Danone Waters Deutschland GmbH,,EUR,Germany,PALLETS,Applicable,6720.00,6713.99,0.000894,2026,3
pd-20203,Dark Clover Srl,,EUR,Italy,MARKETING,Applicable,273000.00,273000.00,0.000000,2026,3
pd-20204,Dayla Limited,,EUR,United Kingdom,CUSTOMERS,Applicable,18582.25,18582.25,0.000000,2026,3
pd-20205,De Coster Serge BVBA,,EUR,Belgium,MAINTENANCE,Applicable,5578.62,5578.62,0.000000,2026,3
pd-20206,De Kinder Hardware NV,,EUR,Belgium,MAINTENANCE,Applicable,628.32,628.32,0.000000,2026,3
pd-20207,Delmenhorster Kork-Fabrik,,EUR,Germany,METAL CLOSURES,Applicable,759823.32,762889.67,0.004036,2026,3
pd-20208,"Deloitte Accountancy, Tax and Legal",DELOITTE,EUR,Belgium,FEES,Applicable,19360.01,19360.01,0.000000,2026,3
pd-20209,Deloitte Consulting & Advisory CVBA,DELOITTE NSE LLP,EUR,Belgium,PEOPLE,Applicable,20250.00,20250.00,0.000000,2026,3
pd-20210,Deloitte Legal,DELOITTE LEGAL STUDIO ASSOCIATO,EUR,Denmark,LEGAL,Applicable,4038.46,30162.52,6.468817,2026,3
pd-20211,Deloitte Legal,DELOITTE LEGAL STUDIO ASSOCIATO,EUR,Norway,LEGAL,Applicable,5555.00,65352.94,10.764706,2026,3
pd-20212,Deloitte Legal,DELOITTE LEGAL STUDIO ASSOCIATO,EUR,Sweden,LEGAL,Applicable,3593.75,39422.44,9.969722,2026,3
pd-20213,Dematic Sevices GMBH,KION GROUP AG,EUR,Belgium,MAINTENANCE,Applicable,2273.00,2273.00,0.000000,2026,3
pd-20214,Demetra Srl,,EUR,Italy,MARKETING,Applicable,36000.00,36000.00,0.000000,2026,3
pd-20215,Demonstrate bvba,DEMONSTRATE,EUR,Belgium,MARKETING,Applicable,18858.61,18858.61,0.000000,2026,3
pd-20216,Denplan Ltd Dental Plans for Groups,SIMPLYHEALTH GROUP,EUR,United Kingdom,PEOPLE,Applicable,113174.05,47413.25,0.581059,2026,3
pd-20217,Dentons Europe (Germany) GmbH & Co.,,EUR,Germany,LEGAL,Applicable,9233.95,9233.95,0.000000,2026,3
pd-20218,Desco Milano Srl,,EUR,Italy,TRAVEL,Applicable,1960.00,1960.00,0.000000,2026,3
pd-20219,Desotec,David Topco S.à r.l.,EUR,Belgium,SERVICES,Applicable,3174.40,3174.40,0.000000,2026,3
pd-20220,Deutsche Post - Abbuchung,,EUR,Germany,OTHER CONSUMABLES,Applicable,990.00,990.00,0.000000,2026,3
pd-20221,Diamond Taxi El Harchi Commv,,EUR,Belgium,PEOPLE,Applicable,3075.00,3075.00,0.000000,2026,3
pd-20222,Didi Express bv,,EUR,Belgium,MARKETING,Applicable,587.50,587.50,0.000000,2026,3
pd-20223,Die Cinema 8 AG,,EUR,Switzerland,CUSTOMERS,Applicable,1125.90,3377.70,2.000000,2026,3
pd-20224,DiepKom GmbH,,EUR,Germany,TECHNOLOGY,Applicable,2574.14,2574.14,0.000000,2026,3
pd-20225,Digitale Druckwerkstatt - one2print,,EUR,Austria,CUSTOMERS,Applicable,720.00,720.00,0.000000,2026,3
pd-20226,Dirk Hammann IT-Beratung,,EUR,Germany,LEGAL,Applicable,2925.00,2925.00,0.000000,2026,3
pd-20227,Dispense Solutions Ltd t/a All Chil,,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,3223.50,3223.50,0.000000,2026,3
pd-20228,Distance Colour Studios Ltd,,EUR,United Kingdom,MARKETING,Applicable,10150.00,10150.00,0.000000,2026,3
pd-20229,Distri-log NV,DISTRI-LOG,EUR,Belgium,LOGISTICS,Applicable,513442.33,513442.33,0.000000,2026,3
pd-20230,Dmquadro Srl,,EUR,Italy,MARKETING,Applicable,2000.00,2000.00,0.000000,2026,3
pd-20231,Doktor Cargo GmbH,Doktor Cargo GmbH,EUR,Germany,LOGISTICS,Applicable,575.00,575.00,0.000000,2026,3
pd-20232,Dolce Forno Srl,,EUR,Italy,MARKETING,Applicable,7920.00,7920.00,0.000000,2026,3
pd-20233,Domino Benelux,Domino Print and Apply Benelux B.V.,EUR,Belgium,MAINTENANCE,Applicable,722.22,722.22,0.000000,2026,3
pd-20234,Domino Deutschland GmbH,"BROTHER INDUSTRIES, LTD.",EUR,Germany,OTHER CONSUMABLES,Applicable,2363.00,2363.00,0.000000,2026,3
pd-20235,"Domino Uk Ltd.,              *",BROTHER INDUSTRIES,EUR,United Kingdom,MAINTENANCE,Applicable,3348.15,3348.15,0.000000,2026,3
pd-20236,Don Whitley Scientific Ltd,DON WHITLEY SCIENTIFIC LIMITED,EUR,United Kingdom,MAINTENANCE,Applicable,11708.99,11708.99,0.000000,2026,3
pd-20237,DormaKaba Belgium NV,DORMAKABA HOLDING,EUR,Belgium,TECHNOLOGY,Applicable,1861.00,1861.00,0.000000,2026,3
