id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-588,Brewery Motupe,Brewery Motupe,MAZ,Peru,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-589,Brewery Mudanjiang New,Brewery Mudanjiang New,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-590,Brewery Munich,Brewery Munich,EUR,Germany,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-591,Brewery Mwanza,Brewery Mwanza,AFR,Tanzania,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-592,Brewery MyPhuoc,Brewery MyPhuoc,APAC,Vietnam,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-593,Brewery Mysore,Brewery Mysore,APAC,India,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-594,Brewery NAZ Zone Co-Pack/Re-Pack,Brewery NAZ Zone Co-Pack/Re-Pack,NAZ,United States,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-595,Brewery Namibia,Brewery Namibia,AFR,Namibia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-596,Brewery Nampula,Brewery Nampula,AFR,Mozambique,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-597,Brewery Nanchang3,Brewery Nanchang3,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-598,Brewery Nanning,Brewery Nanning,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-599,Brewery Ndola,Brewery Ndola,AFR,Zambia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-600,Brewery Nepal,Brewery Nepal,APAC,Nepal,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-601,Brewery Newark,Brewery Newark,NAZ,United States,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-602,Brewery Newlands,Brewery Newlands,AFR,South Africa,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-603,Brewery Ningbo,Brewery Ningbo,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-604,Brewery Onitsha,Brewery Onitsha,AFR,Nigeria,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-605,Brewery Pabod,Brewery Pabod,AFR,Nigeria,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-606,Brewery Panama,Brewery Panama,MAZ,Panama,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-607,Brewery Patagonia,Brewery Patagonia,SAZ,Argentina,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-608,Brewery Petropolis (Bohemia),Brewery Petropolis (Bohemia),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-609,Brewery Pirai,Brewery Pirai,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-610,Brewery Planta de Agua El Salvador,Brewery Planta de Agua El Salvador,MAZ,El Salvador,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-611,Brewery Polokwane,Brewery Polokwane,AFR,South Africa,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-612,Brewery Pompeya,Brewery Pompeya,SAZ,Argentina,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-613,Brewery Ponta Grossa (Adriatica),Brewery Ponta Grossa (Adriatica),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-614,Brewery Portsmouth,Brewery Portsmouth,NAZ,United States,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-615,Brewery Prospecton,Brewery Prospecton,AFR,South Africa,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
