id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,conformityPct,missingPo,wrongPo,wrongInvoice,totalInvoices,mismatchCount
ic-120,ADEA INGENIERIA DOCUMENTAL,"FCP FUND I, FCR",EUR,Spain,TRANSPORT,LOGISTICS,Applicable,1.000000,0,0,0,5,0
ic-121,ADECCO,ADECCO,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,2,0
ic-122,ADM GROUP BV,Adm Invest,EUR,Belgium,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,21,0
ic-123,ADM PROMOTIONS SPAIN SLU (DE),ADM GROUP,EUR,Austria,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,10,0
ic-124,ADM PROMOTIONS SPAIN SLU (DE),ADM GROUP,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,13,0
ic-125,ADM PROMOTIONS SPAIN SLU (DE),ADM GROUP,EUR,Switzerland,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,7,0
ic-126,ADM PROMOTIONS UK,MANDOLIN TOPCO LIMITED,EUR,France,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,8,0
ic-127,ADM PROMOTIONS USA INC,MANDOLIN TOPCO LIMITED,EUR,GHQ BE,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-128,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Austria,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,8,0
ic-129,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Belgium,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-130,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Denmark,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,9,0
ic-131,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Finland,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,5,0
ic-132,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,GHQ BE,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
ic-133,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,GHQ CH,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-134,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,6,0
ic-135,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Norway,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-136,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Sweden,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,7,0
ic-137,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Switzerland,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-138,ADM Promotions UK,ADM Promotions UK,EUR,Ireland,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-139,ADM Promotions UK (NL),MANDOLIN TOPCO LIMITED,EUR,United Kingdom,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,7,0
ic-140,ADM Promotions UK Limited,ADM GROUP,EUR,GHQ BE,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,5,0
ic-141,ADM Promotions UK Limited,ADM GROUP,EUR,United Kingdom,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,103,0
ic-142,ADN,ADN,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,3,0
ic-143,ADOLPH KOLPING G GMBH,ADOLPH KOLPING G GMBH,EUR,Germany,PEOPLE,BST,Applicable,1.000000,0,0,0,30,0
ic-144,ADOS GMBH,ADOS GMBH,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,3,0
ic-145,ADS,ADS,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,17,0
ic-146,ADVANTCO INTERNATIONAL LLC,ADVANTCO INTERNATIONAL LLC,EUR,Belgium,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,2,0
ic-147,ADVOCATEN BRONSGEEST DEUR,BRONSGEEST DEUR ADVOCATEN,EUR,Netherlands,LEGAL,BST,Applicable,1.000000,0,0,0,81,0
ic-148,"AE ""UKRAYiNSKA VOLNITsYa""",AE UKRAYiNSKA VOLNITsYa,EUR,Ukraine,BARLEY,DIRECT,Applicable,1.000000,0,0,0,26,0
